NOMOR PARTAI,NAMA PARTAI,NOMOR URUT,NAMA CALEG,JENIS KELAMIN,PEROLEHAN SUARA,COUNTRY CODE,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated,PROVINSI,DAERAH PEMILIHAN
1,PNI Marhaenisme,1,HARINDER SINGH,,1279,ID,namsor_api_2.0.24,LATIN,55b48d67-f11f-4dd7-88a3-dd7ddaae14f1,HARINDER SINGH,male,-0.923552417,12.70923153,0.961776208,NAD,NAD I
1,PNI Marhaenisme,2,SAYED MUKLIS,,543,ID,namsor_api_2.0.24,LATIN,b8e890d3-67d5-43bc-aa67-406bc378465d,SAYED MUKLIS,male,-0.988563939,21.42327877,0.99428197,,
1,PNI Marhaenisme,3,JASWINDERJIT,,227,ID,namsor_api_2.0.24,LATIN,a2bf1dbf-2ea5-4681-a08e-8e39f93f5b24,JASWINDERJIT,male,-0.250376738,3.847331342,0.625188369,,
2,Partai Buruh Sosial Demokrat,1,"YAKUB HAMZAH, SH",,1688,ID,namsor_api_2.0.24,LATIN,d092a9f3-1e49-4a23-b8a6-be81556c3523,"YAKUB HAMZAH, SH",male,-0.861567997,10.99828435,0.930783999,,
2,Partai Buruh Sosial Demokrat,2,Ir. SABAM TOBING,,632,ID,namsor_api_2.0.24,LATIN,34b28413-9155-4c2c-b7d2-99d4045c4daa,Ir. SABAM TOBING,male,-0.750681893,9.801094395,0.875340947,,
3,Partai Bulan Bintang,1,"MUHAMMAD FAUZI, SE",,14687,ID,namsor_api_2.0.24,LATIN,27dc43c7-a417-43e1-be0a-f48ac26472d5,"MUHAMMAD FAUZI, SE",male,-0.987905615,21.18914728,0.993952807,,
3,Partai Bulan Bintang,2,"NOOR MUHAMMAD, SE",,6156,ID,namsor_api_2.0.24,LATIN,e0a78d34-8d97-4d03-a845-53db1a3d5715,"NOOR MUHAMMAD, SE",male,-0.976396538,17.57955541,0.988198269,,
3,Partai Bulan Bintang,3,Ir. TEUKU HANIEF HASAN,,9385,ID,namsor_api_2.0.24,LATIN,50a482ad-f961-4cdd-98be-81bf00841bca,Ir. TEUKU HANIEF HASAN,male,-0.974450273,17.14409015,0.987225137,,
3,Partai Bulan Bintang,4,Ir. IMRAN M. SYAM,,2600,ID,namsor_api_2.0.24,LATIN,ceffde49-593c-4888-89c9-34f5dbae67bf,Ir. IMRAN M. SYAM,male,-0.963202449,15.49897859,0.981601224,,
4,Partai Merdeka,1,Drs. H. YASIN ISHAK,,4662,ID,namsor_api_2.0.24,LATIN,63bde311-0bdf-4808-8bcf-0801af81ff6d,Drs. H. YASIN ISHAK,male,-0.983083647,19.49066521,0.991541824,,
4,Partai Merdeka,2,Dra. RINA NOVITA,,1792,ID,namsor_api_2.0.24,LATIN,054d8663-a376-4bf9-a98a-12c8f2716cd0,Dra. RINA NOVITA,female,0.980446731,18.58952804,0.990223365,,
5,Partai Persatuan Pembangunan,1,TGK. MUHAMMAD YUS,,36485,ID,namsor_api_2.0.24,LATIN,d1baada1-fcb6-49a0-b995-a9c402028ef3,TGK. MUHAMMAD YUS,male,-0.499975694,7.212202634,0.749987847,,
5,Partai Persatuan Pembangunan,2,Hj. NURDAHRI IBRAHIM NAIN,,17135,ID,namsor_api_2.0.24,LATIN,c89019e4-f123-4677-9f50-347fb1a39f3a,Hj. NURDAHRI IBRAHIM NAIN,male,-0.141986004,2.452471885,0.570993002,,
5,Partai Persatuan Pembangunan,3,Drs. H. MUNIR AZIZ,,11830,ID,namsor_api_2.0.24,LATIN,0aaa756e-847b-47ef-8b0c-f2bae89f0eae,Drs. H. MUNIR AZIZ,male,-0.980829217,18.69407936,0.990414608,,
5,Partai Persatuan Pembangunan,4,HILMAN ISMAIL,,6342,ID,namsor_api_2.0.24,LATIN,582971bd-ec49-40a6-b468-cd03be1a8a9f,HILMAN ISMAIL,male,-0.89403985,11.64504423,0.947019925,,
5,Partai Persatuan Pembangunan,5,"IR. H. IBRAHIM ARIF MURTI SANI, SH",,6860,ID,namsor_api_2.0.24,LATIN,9e694c82-3a46-4305-bd07-45668aae1658,"IR. H. IBRAHIM ARIF MURTI SANI, SH",male,-0.819923373,10.52154918,0.909961686,,
5,Partai Persatuan Pembangunan,6,Drs. H. AR. RASYIDI,,3202,ID,namsor_api_2.0.24,LATIN,90f00357-490e-4a87-812b-e45742e22c27,Drs. H. AR. RASYIDI,male,-0.970537203,16.38152486,0.985268602,,
5,Partai Persatuan Pembangunan,7,TGK. H. HASBULLAH AL IDRUS,,2472,ID,namsor_api_2.0.24,LATIN,82d1b01c-ee6b-4995-a799-5b5cddbd08ed,TGK. H. HASBULLAH AL IDRUS,male,-0.284687523,4.643004428,0.642343761,,
5,Partai Persatuan Pembangunan,8,"Prof. DR. H. BAIHAQI, A.K.",,1308,ID,namsor_api_2.0.24,LATIN,42b2e2e1-54b2-4bbd-be29-8d04a16aa24b,"Prof. DR. H. BAIHAQI, A.K.",male,-0.905973913,12.05180833,0.952986957,,
6,Partai Persatuan Demokrasi Kebangsaan,1,"Drs. H.M. DJAKFAR IS, M.Si",,5354,ID,namsor_api_2.0.24,LATIN,d02d99f5-9f22-4d57-a56e-52d51fb2c2ce,"Drs. H.M. DJAKFAR IS, M.Si",male,-0.931777802,13.16174597,0.965888901,,
6,Partai Persatuan Demokrasi Kebangsaan,2,"H. M. NOER YOESOEF, SE",,1944,ID,namsor_api_2.0.24,LATIN,bfad3658-ab8a-4b8d-b46f-ba3ebba28865,"H. M. NOER YOESOEF, SE",male,-0.985347702,20.10273535,0.992673851,,
6,Partai Persatuan Demokrasi Kebangsaan,3,Drs. SAYED HUSAIN AL HAJ,,1347,ID,namsor_api_2.0.24,LATIN,b1310a71-4faa-4178-985d-256bec881782,Drs. SAYED HUSAIN AL HAJ,male,-0.993893262,30.97220984,0.996946631,,
